Year,GS.Start.d.i.y,GS.Start.month,GS.Start.day,GS.End.d.i.y,GS.End.month,GS.End.day,GS.Window.day,GS.Precipitation.inch,GS.Avg.temperature.F,GS.Var.temperature.F
2013,157,6,7,297,10,25,140,13.5,47.80297872340426,64.17723392097264
2014,167,6,17,276,10,4,109,9.699999999999996,48.94290909090909,32.30256760633861
2015,163,6,13,306,11,3,143,16.3,46.7325,57.18501188811189
2016,162,6,11,300,10,27,138,8.100000000000001,47.230071942446045,52.16799637159837
2017,168,6,18,278,10,6,110,4.899999999999999,48.68,44.06301818181819
2018,149,5,30,281,10,9,132,4.200000000000003,50.655037593984964,37.85416609706083
2019,184,7,4,286,10,14,102,6.799999999999997,49.03009708737864,65.49579508852085
2020,155,6,4,283,10,10,128,5.5,49.88139534883721,55.7424261627907
2021,153,6,3,298,10,26,145,10.899999999999999,49.56356164383562,53.14173619272555
2022,155,6,5,285,10,13,130,13.499999999999993,49.00372093023256,45.72047354651163
2023,175,6,25,295,10,23,120,3.9000000000000057,47.97388429752066,61.63588561983471
